"","weather","HOUR"
"1267","sunny",12
"1268","sunny",12
"1269","sunny",13
"1270","sunny",13
"1271","sunny",13
"1272","sunny",14
"1273","sunny",14
"1274","sunny",14
"1275","sunny",14
"1276","sunny",14
"1277","sunny",14
"1278","sunny",14
"1279","sunny",15
"1280","sunny",15
"1281","sunny",15
"1282","sunny",16
"1283","sunny",16
"1284","sunny",16
"1285","sunny",16
"1286","sunny",16
"1287","sunny",16
"1288","sunny",16
"1289","sunny",17
"1290","sunny",17
"1291","sunny",17
"1292","sunny",17
"1293","sunny",18
"1294","sunny",18
"1295","sunny",18
"1296","sunny",18
"1297","sunny",18
"1298","sunny",18
"1299","sunny",18
"1300","sunny",19
"1301","sunny",19
"1302","sunny",19
"1303","sunny",19
"1304","sunny",19
"1305","sunny",20
"1306","sunny",20
"1307","sunny",20
"1308","sunny",21
"1309","sunny",21
"1310","sunny",21
"1311","sunny",22
"1312","sunny",22
"1313","sunny",22
"1314","sunny",22
"1315","sunny",22
"1316","sunny",0
"1317","sunny",0
"1318","sunny",2
"1319","sunny",2
"1320","sunny",3
"1321","sunny",6
"1322","sunny",6
"1323","sunny",6
"1324","sunny",7
"1325","sunny",7
"1326","sunny",7
"1327","sunny",7
"1328","sunny",8
"1329","sunny",8
"1330","sunny",8
"1331","sunny",8
"1332","sunny",8
"1333","sunny",8
"1334","sunny",9
"1335","sunny",9
"1336","sunny",9
"1337","sunny",9
"1338","sunny",9
"1339","sunny",9
"1340","sunny",9
"1341","sunny",10
"1342","sunny",10
"1343","sunny",10
"1344","sunny",10
"1345","sunny",10
"1346","sunny",10
"1347","sunny",11
"1348","sunny",11
"1349","sunny",12
"1350","sunny",12
"1351","sunny",12
"1352","sunny",13
"1353","sunny",13
"1354","sunny",13
"1355","sunny",13
"1356","sunny",13
"1357","sunny",13
"1358","sunny",14
"1359","sunny",14
"1360","sunny",14
"1361","sunny",14
"1362","sunny",14
"1363","sunny",15
"1364","sunny",15
"1365","sunny",15
"1366","sunny",15
"1367","sunny",16
"1368","sunny",16
"1369","sunny",16
"1370","sunny",16
"1371","sunny",16
"1372","sunny",17
"1373","sunny",17
"1374","sunny",17
"1375","sunny",18
"1376","sunny",18
"1377","sunny",18
"1378","sunny",18
"1379","sunny",18
"1380","sunny",18
"1381","sunny",18
"1382","sunny",19
"1383","sunny",19
"1384","sunny",19
"1385","sunny",19
"1386","sunny",19
"1387","sunny",19
"1388","sunny",20
"1389","sunny",20
"1390","sunny",20
"1391","sunny",21
"1392","sunny",21
"1393","sunny",21
"1394","sunny",22
"1395","sunny",22
"1396","sunny",22
"1397","sunny",23
"1398","sunny",0
"1399","sunny",0
"1400","sunny",0
"1401","sunny",1
"1402","sunny",2
"1403","sunny",3
"1404","sunny",5
"1405","sunny",6
"1406","sunny",6
"1407","sunny",6
"1408","sunny",6
"1409","sunny",6
"1410","sunny",6
"1411","sunny",7
"1412","sunny",7
"1413","sunny",8
"1414","sunny",8
"1415","sunny",8
"1416","sunny",8
"1417","sunny",9
"1418","sunny",9
"1419","sunny",9
"1420","sunny",9
"1421","sunny",10
"1422","sunny",10
"1423","sunny",10
"1424","sunny",10
"1425","sunny",10
"1426","sunny",10
"1427","sunny",11
"1428","sunny",11
"1429","sunny",11
"1430","sunny",11
"1431","sunny",12
"1432","sunny",12
"1433","sunny",12
"1434","sunny",12
"1435","sunny",12
"1436","sunny",12
"1437","sunny",13
"1438","sunny",13
"1439","sunny",13
